comments_before_basetime,comments_24_basetime,comments_48_24,comments_publ_24,Diff_52_53,links_before_basetime,links_24_basetime,links_48_24,links_publ_24,diff_8_7,Target
2,2,0,2,2,0,0,0,0,0,1
6,2,4,5,-2,0,0,0,0,0,0
6,2,4,5,-2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,1
3,1,2,2,-1,0,0,0,0,0,27
6,0,2,5,-2,0,0,0,0,0,0
6,0,2,5,-2,0,0,0,0,0,0
3,1,2,2,-1,0,0,0,0,0,27
30,27,1,2,26,0,0,0,0,0,9
30,27,1,2,26,0,0,0,0,0,9
0,0,0,0,0,2,2,0,2,2,0
0,0,0,0,0,2,0,2,2,-2,0
30,30,0,30,30,1,1,0,1,1,2
0,0,0,0,0,2,0,0,2,0,0
51,51,0,51,51,3,3,0,3,3,13
10,10,0,10,10,0,0,0,0,0,15
32,2,30,32,-28,2,1,1,2,0,3
10,10,0,10,10,0,0,0,0,0,15
51,51,0,51,51,3,3,0,3,3,13
64,13,51,64,-38,4,1,3,4,-2,1
25,15,10,10,5,0,0,0,0,0,21
35,3,2,32,1,2,0,1,2,-1,1
25,15,10,10,5,0,0,0,0,0,21
64,13,51,64,-38,4,1,3,4,-2,1
65,1,13,64,-12,4,0,1,4,-1,3
46,21,15,10,6,0,0,0,0,0,3
46,21,15,10,6,0,0,0,0,0,3
65,1,13,64,-12,4,0,1,4,-1,3
2,2,0,2,2,0,0,0,0,0,2
2,2,0,2,2,0,0,0,0,0,2
4,2,2,2,0,0,0,0,0,0,5
4,2,2,2,0,0,0,0,0,0,5
9,5,2,2,3,0,0,0,0,0,0
9,5,2,2,3,0,0,0,0,0,0
377,377,0,377,377,1,1,0,1,1,21
1,1,0,1,1,1,0,0,1,0,0
1,1,0,1,1,1,0,0,1,0,0
398,21,377,378,-356,1,0,1,1,-1,3
1,1,0,1,1,1,0,0,1,0,0
1,0,1,1,-1,1,0,0,1,0,0
1,0,1,1,-1,1,0,0,1,0,0
401,3,21,378,-18,1,0,0,1,0,2
1,0,1,1,-1,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0
1,0,0,1,0,1,0,0,1,0,0
7,7,0,7,7,0,0,0,0,0,14
21,14,7,10,7,1,1,0,1,1,12
33,12,14,10,-2,1,0,1,1,-1,7
2,2,0,2,2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,0
2,2,0,2,2,0,0,0,0,0,0
2,0,2,2,-2,0,0,0,0,0,0
2,0,2,2,-2,0,0,0,0,0,0
2,0,2,2,-2,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0
2,0,0,2,0,0,0,0,0,0,0
26,26,0,26,26,0,0,0,0,0,7
33,7,26,28,-19,0,0,0,0,0,3
36,3,7,28,-4,0,0,0,0,0,1
51,51,0,51,51,0,0,0,0,0,1
51,51,0,51,51,0,0,0,0,0,1
52,1,51,51,-50,0,0,0,0,0,2
52,1,51,51,-50,0,0,0,0,0,2
54,2,1,51,1,0,0,0,0,0,0
54,2,1,51,1,0,0,0,0,0,0
14,14,0,14,14,0,0,0,0,0,5
18,18,0,18,18,1,1,0,1,1,17
14,14,0,14,14,0,0,0,0,0,5
19,5,14,14,-9,0,0,0,0,0,0
35,17,18,33,-1,1,0,1,1,-1,2
19,5,14,14,-9,0,0,0,0,0,0
19,0,5,14,-5,0,0,0,0,0,1
37,2,17,33,-15,1,0,0,1,0,0
19,0,5,14,-5,0,0,0,0,0,1
10,10,0,10,10,0,0,0,0,0,8
18,8,10,14,-2,0,0,0,0,0,0
18,0,8,14,-8,0,0,0,0,0,0
35,35,0,35,35,0,0,0,0,0,36
71,36,35,68,1,0,0,0,0,0,1
72,1,36,68,-35,0,0,0,0,0,2
5,5,0,5,5,2,2,0,2,2,12
62,62,0,62,62,0,0,0,0,0,9
17,12,5,8,7,2,0,2,2,-2,8
62,62,0,62,62,0,0,0,0,0,9
71,9,62,68,-53,0,0,0,0,0,8
25,8,12,8,-4,2,0,0,2,0,4
71,9,62,68,-53,0,0,0,0,0,8
79,8,9,68,-1,0,0,0,0,0,1
79,8,9,68,-1,0,0,0,0,0,1
59,59,0,59,59,3,3,0,3,3,3
59,59,0,59,59,3,3,0,3,3,3
62,3,59,62,-56,3,0,3,3,-3,2
62,3,59,62,-56,3,0,3,3,-3,2
64,2,3,62,-1,3,0,0,3,0,1
64,2,3,62,-1,3,0,0,3,0,1
1,1,0,1,1,0,0,0,0,0,3
1,1,0,1,1,0,0,0,0,0,3
4,3,1,1,2,0,0,0,0,0,2
4,3,1,1,2,0,0,0,0,0,2
6,2,3,1,-1,0,0,0,0,0,3
6,2,3,1,-1,0,0,0,0,0,3
5,5,0,5,5,0,0,0,0,0,26
31,26,5,31,21,3,3,0,3,3,2
